condition,category,category_accuracy
natural_function,island_effects,0.483073717948718
natural_function,anaphor_agreement,0.389
natural_function,argument_structure,0.6477628093146145
natural_function,subject_verb_agreement,0.5562333723594816
natural_function,ellipsis,0.3454449541284404
natural_function,control_raising,0.6496241119840965
natural_function,irregular_forms,0.7215
natural_function,npi_licensing,0.5399999999999999
natural_function,binding,0.5953661162957645
natural_function,filler_gap,0.6213124698103735
no_function,argument_structure,0.6116306385591483
no_function,ellipsis,0.36410346585117226
no_function,control_raising,0.642001650898599
no_function,irregular_forms,0.655
no_function,subject_verb_agreement,0.475956475232798
no_function,island_effects,0.48251923076923087
no_function,npi_licensing,0.4883333333333333
no_function,binding,0.5886281407035175
no_function,filler_gap,0.71189962408321
no_function,anaphor_agreement,0.387
random_function,argument_structure,0.6174669964790849
random_function,ellipsis,0.3695805300713558
random_function,control_raising,0.6225050114058985
random_function,irregular_forms,0.7535000000000001
random_function,subject_verb_agreement,0.4841581658100189
random_function,island_effects,0.4623557692307692
random_function,npi_licensing,0.5313333333333333
random_function,binding,0.5667264895908112
random_function,filler_gap,0.5477688056183522
random_function,anaphor_agreement,0.38
five_function,argument_structure,0.6286891506789031
five_function,ellipsis,0.3550417940876657
five_function,control_raising,0.6473354161107862
five_function,irregular_forms,0.723
five_function,subject_verb_agreement,0.48794475569349705
five_function,island_effects,0.5052660256410256
five_function,npi_licensing,0.5805
five_function,binding,0.5969195979899498
five_function,filler_gap,0.6265858561694622
five_function,anaphor_agreement,0.386
within_boundary,island_effects,0.5014487179487179
within_boundary,anaphor_agreement,0.392
within_boundary,argument_structure,0.6493261803761415
within_boundary,subject_verb_agreement,0.5335454101286499
within_boundary,ellipsis,0.3305637104994903
within_boundary,control_raising,0.623631362029671
within_boundary,irregular_forms,0.7264999999999999
within_boundary,npi_licensing,0.46016666666666667
within_boundary,binding,0.5759842067480259
within_boundary,filler_gap,0.6550871657668997
more_function,argument_structure,0.6395135116063906
more_function,ellipsis,0.34640621814475026
more_function,control_raising,0.6154038349250953
more_function,irregular_forms,0.6715
more_function,subject_verb_agreement,0.5280155135436111
more_function,island_effects,0.45220512820512815
more_function,npi_licensing,0.5175
more_function,binding,0.5837415649676956
more_function,filler_gap,0.5333374473777435
more_function,anaphor_agreement,0.396
bigram_function,argument_structure,0.6193786278566369
bigram_function,ellipsis,0.3497222222222222
bigram_function,control_raising,0.6438340434155392
bigram_function,irregular_forms,0.7769999999999999
bigram_function,subject_verb_agreement,0.4955161629326526
bigram_function,island_effects,0.4705705128205128
bigram_function,npi_licensing,0.6076666666666667
bigram_function,binding,0.5851801866475234
bigram_function,filler_gap,0.6772219963666544
bigram_function,anaphor_agreement,0.3855
